Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
38,PERDONAMI,Salmo,669654,https://open.spotify.com/track/4Yr7z1MFiI2D3QnldF107i,2018,12,4Yr7z1MFiI2D3QnldF107i
39,It's Beginning to Look a Lot like Christmas,Michael Bublé,659907,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2018,12,5a1iz510sv2W9Dt1MvFd5R
40,Poesia senza veli,Ultimo,659271,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W,2018,12,3f2b204xj4jZdoHjo9wj0W
41,Se Piovesse Il Tuo Nome,Elisa,654767,https://open.spotify.com/track/7oETr2afFHIzjDIOpm4zPJ,2018,12,0FNRyMufs8Ox03TtaoyCjH
42,Fumo Da Solo,Izi,640064,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG,2018,12,6uMdn1ovj2ZRHGMbiTQAvy
43,In My Mind,Dynoro,640039,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018,12,0E9ZjEAyAwOXZ7wJC0PD33
44,Pablo,Rvssian,632761,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d,2018,12,0fBipGsPTv6yilC8z9BOQl
45,Bohemian Rhapsody - Remastered 2011,Queen,624077,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018,12,7tFiyTwD0nx5a1eklYtX2J
46,D'estate non vale (feat. Ana Mena),Fred De Palma,613352,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy,2018,12,5IbiQAbMBe5T2K67mCAIx3
47,Uh Ah Hey,Sfera Ebbasta,595754,https://open.spotify.com/track/2zsJ7dZdvtmUBDOuRSqQ5h,2018,12,2zsJ7dZdvtmUBDOuRSqQ5h
48,Underneath the Tree,Kelly Clarkson,588535,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2018,12,3YZE5qDV7u1ZD1gZc47ZeR
49,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,585130,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018,12,2LskIZrCeLxRvCiGP8gxlh
50,Calma - Remix,Pedro Capó,582831,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2018,12,5iwz1NiezX7WWjnCgY5TH4
51,Rollercoaster,Emis Killa,572568,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf,2018,12,5L95vS64rG1YMIFm1hLjyZ
52,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,559708,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,2018,12,4kKdvXD0ez7jp1296JmAts
53,Mistletoe,Justin Bieber,552510,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2018,12,7xapw9Oy21WpfEcib2ErSA
54,Jingle Bell Rock,Bobby Helms,551960,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2018,12,7vQbuQcyTflfCIOu3Uzzya
55,Tutto tua madre,J-AX,548789,https://open.spotify.com/track/1PahySwtcIaiG7GUnCy9tx,2018,12,1PahySwtcIaiG7GUnCy9tx
56,NewJeans,Capo Plaza,545351,https://open.spotify.com/track/1C8KgGduDWKvwbFiqARcFq,2018,12,1C8KgGduDWKvwbFiqARcFq
57,DISPOVERY CHANNEL (feat. Nitro),Salmo,539406,https://open.spotify.com/track/77F0NNChJGfDBp3fTCWaDc,2018,12,77F0NNChJGfDBp3fTCWaDc
58,Billets (feat. Ninho),Capo Plaza,535639,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0,2018,12,2aD5ESGyEhXnXdoOsZvsR0
59,Uno squillo,Capo Plaza,520081,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN,2018,12,7zivIUyCw9MmYftdcayXnN
60,New York,Thegiornalisti,514685,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL,2018,12,6yjKlmm7vOszkXEUku1EM1
61,Girls Like You (feat. Cardi B),Maroon 5,509949,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018,12,6V1bu6o1Yo5ZXnsCJU8Ovk
62,Il ballo delle incertezze,Ultimo,497224,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu,2018,12,0Wq6iAraiUpSbBSPmv4gLu
63,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,493522,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2018,12,27RYrbL6S02LNVhDWVl38b
64,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,491129,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi,2018,12,2bzitsPcImYC6DZWvvLCQi
65,Sleigh Ride,The Ronettes,487575,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ,2018,12,5ASM6Qjiav2xPe7gRkQMsQ
66,Malibu,Vegas Jones,487515,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw,2018,12,1UZOjK1BwmwWU14Erba9CZ
67,Morirò da Re,Måneskin,479243,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV,2018,12,1aX0Ki80LFzzhqxqRlqbAV
68,7/8 Sour,MadMan,477512,https://open.spotify.com/track/3pTlhegZkebcfjrFscPShg,2018,12,02jxUVBnihub7LKkcjadFI
69,Trap Phone (feat. Capo Plaza),Guè Pequeno,470576,https://open.spotify.com/track/4dcMymOM4uDaH0NrwdktgN,2018,12,4dcMymOM4uDaH0NrwdktgN
70,"thank u, next",Ariana Grande,470041,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018,12,3e9HZxeyfWwjeyPAMmWSSQ
71,Coupé,Capo Plaza,465326,https://open.spotify.com/track/0X6TgBHcxe20tNvWuwXEpn,2018,12,2UslPu1Jo7jIiUchu9QvPv
72,Nera,Irama,449192,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX,2018,12,3ZsWgbviZR93GPJIlxuaAG
73,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,444968,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu,2018,12,3fw3W15QK6a9UxJGgndtYu
74,Ella Quiere Beber - Remix,Anuel AA,443239,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2018,12,3f5lA8nnc4YYF1qf78WpHw
75,Rockin' Around The Christmas Tree,Brenda Lee,442856,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2018,12,2EjXfH91m7f8HiJN1yQg97
76,Guarda Come Flexo 2,MamboLosco,442565,https://open.spotify.com/track/6PX2GtCt8YJzOQ4ulJM41k,2018,12,4N6ofOnUS1w7XObOthDELW
77,What Christmas Means to Me (feat. Stevie Wonder),John Legend,439945,https://open.spotify.com/track/6JUnflvdkYvbzsp6zWpaCZ,2018,12,13XMz3rpVYITzjFIsSYlZ1
78,Fame,Nayt,437512,https://open.spotify.com/track/3WQJd5uYQ40Qlol1Q8pIpe,2018,12,1PehfITh0TTRx3LkDdV4h3
79,Ne è valsa la pena (feat. Ghali),Capo Plaza,436552,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO,2018,12,6GTCOWvhjvdk4pwlfrSjNO
80,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,436142,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,2018,12,1SV1fxF65n9NhRHp3KlBuu
81,Te Boté - Remix,Nio Garcia,435937,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2018,12,3V8UKqhEK5zBkBb6d6ub8i
82,Cupido (feat. Quavo),Sfera Ebbasta,429000,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy,2018,12,5IB44qTngIOBGYnjGZgz16
83,Shallow,Lady Gaga,428576,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018,12,2VxeLyX666F8uXCJ0dZF8B
84,Un domani (feat. Mr.Rain),Annalisa,426937,https://open.spotify.com/track/5ZUbSBnGDbmBGcH2l1575M,2018,12,5ZUbSBnGDbmBGcH2l1575M
85,Porto Cervo,Lazza,421313,https://open.spotify.com/track/0TAt3c8KXb1D3sWT8ENar8,2018,12,0TAt3c8KXb1D3sWT8ENar8
86,Felicità puttana,Thegiornalisti,419292,https://open.spotify.com/track/695AOnYHYnvHIMaTNKjkA5,2018,12,695AOnYHYnvHIMaTNKjkA5
87,Peace & Love,Charlie Charles,413169,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD,2018,12,3Owfp723o5on470xzKIR0v
88,Promises (with Sam Smith),Calvin Harris,412781,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018,12,5N5k9nd479b1xpDZ4usjrg
89,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",Il Volo,409252,https://open.spotify.com/track/7o8OevWP4oIwCQyWuWZblH,2018,12,1wf7s1w61AvG1813uj1hrZ
90,It's the Most Wonderful Time of the Year,Andy Williams,408389,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2018,12,5hslUAKq9I9CG2bAulFkHN
91,Feliz Navidad,José Feliciano,406770,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018,12,0oPdaY4dXtc3ZsaG17V972
92,PXM,Salmo,405985,https://open.spotify.com/track/6Jv6R1QvVm2CuCbqLi1nAT,2018,12,7w87IxuO7BDcJ3YUqCyMTT
