Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy,Loudness,Key,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
24,Popstar,Sfera Ebbasta,845857,https://open.spotify.com/track/1fIuF52zouQWN13q3X9FHk,2018,12,6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,0.45,-4.818,5,0,0.261,0.057,0.0,0.134,163.071,4
25,Bella e rovinata,Irama,834131,https://open.spotify.com/track/5uPQRVuGquShCnqzuOTq4B,2018,12,5uPQRVuGquShCnqzuOTq4B,0.549,0.646,0.444,-6.586,10,1,0.0428,0.258,0.0,0.0847,156.012,4
26,Prima di ogni cosa,Fedez,816731,https://open.spotify.com/track/0juSegsrO7siAAjlNATKV2,2018,12,5mkGjUA82k3yWNhD1kFAuU,0.597,0.469,0.449,-7.089,5,1,0.0458,0.624,0.0,0.23,131.257,3
27,Santa Claus Is Coming to Town,Michael Bublé,807742,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,2018,12,2QpN1ZVw8eJO5f7WcvUA1k,0.692,0.762,0.961,-4.867,0,1,0.0342,0.424,1.27e-05,0.181,146.673,4
28,HO PAURA DI USCIRE,Salmo,804260,https://open.spotify.com/track/4Nc1FDBI1NUiN48MjTiXEi,2018,12,0nFCpnM7nistUWXRZpzOWM,0.838,0.853,0.692,-5.126,4,1,0.283,0.168,0.0,0.545,119.939,4
29,Vaina Loca,Ozuna,748817,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2018,12,48zFZh27QU5qsrBjn4C2FA,0.754,0.805,0.555,-4.249,6,1,0.0752,0.315,0.0,0.203,93.982,4
30,Vertigini,Tedua,724117,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU,2018,12,1Oou7m2VuxCDSOdqsu07TU,0.579,0.774,0.476,-6.34,5,0,0.164,0.164,0.0,0.131,133.722,4
31,Posso (feat. Max Gazzé),Carl Brave,712098,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6,2018,12,5N0nmOmc0MqPZTYKw4fVV6,0.736,0.878,0.854,-5.307,0,1,0.224,0.17,2.04e-05,0.0913,163.948,4
32,Bling Bling (Oro),Guè Pequeno,699782,https://open.spotify.com/track/11AXfsh0V6zCCU7Po6kQiY,2018,12,11AXfsh0V6zCCU7Po6kQiY,0.693,0.731,0.419,-6.149,10,0,0.0372,0.0412,0.000119,0.0812,97.959,4
33,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,695081,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q,2018,12,093RgZ7RXHZwIrxZhZYX4Q,0.854,0.626,0.377,-5.14,11,1,0.0618,0.316,0.0,0.0961,140.05,4
34,Pianeti,Ultimo,691151,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW,2018,12,2w5wtWq30yTkNSG9YjMFvW,0.55,0.488,0.108,-9.425,8,1,0.196,0.281,0.0,0.372,80.112,4
35,Davide (feat. Coez),Gemitaiz,690900,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J,2018,12,1Lq5ApqhIWUXzlryFX2K6J,0.797,0.63,0.761,-7.601,5,1,0.0763,0.136,4.86e-06,0.207,126.006,4
36,Santa Tell Me,Ariana Grande,687176,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2018,12,0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,0.591,-7.364,7,1,0.116,0.0489,0.0,0.294,191.9,4
37,RICCHI E MORTI,Salmo,682620,https://open.spotify.com/track/2sCkQ5AoGNKy0urYd2E3BT,2018,12,2sCkQ5AoGNKy0urYd2E3BT,0.863,0.901,0.584,-5.244,5,0,0.303,0.152,0.0,0.526,125.009,4
38,PERDONAMI,Salmo,669654,https://open.spotify.com/track/4Yr7z1MFiI2D3QnldF107i,2018,12,4Yr7z1MFiI2D3QnldF107i,0.704,0.745,0.606,-4.722,6,1,0.272,0.0699,0.0,0.0877,76.592,4
39,It's Beginning to Look a Lot like Christmas,Michael Bublé,659907,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2018,12,5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,0.363,-11.714,4,1,0.0375,0.908,7.47e-06,0.341,94.775,3
40,Poesia senza veli,Ultimo,659271,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W,2018,12,3f2b204xj4jZdoHjo9wj0W,0.739,0.519,0.255,-7.461,8,0,0.125,0.752,0.0,0.222,81.991,4
41,Se Piovesse Il Tuo Nome,Elisa,654767,https://open.spotify.com/track/7oETr2afFHIzjDIOpm4zPJ,2018,12,0FNRyMufs8Ox03TtaoyCjH,0.561,0.712,0.2,-3.204,1,0,0.0292,0.326,1.63e-05,0.101,81.958,4
42,Fumo Da Solo,Izi,640064,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG,2018,12,6uMdn1ovj2ZRHGMbiTQAvy,0.708,0.604,0.463,-8.477,7,0,0.0489,0.279,0.0,0.14,140.092,4
43,In My Mind,Dynoro,640039,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018,12,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.163,-5.335,6,1,0.149,0.176,1.1e-05,0.118,125.905,4
44,Pablo,Rvssian,632761,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d,2018,12,0fBipGsPTv6yilC8z9BOQl,0.779,0.775,0.949,-4.46,1,1,0.07,0.176,0.0,0.0447,96.052,4
